job_title,Decline,Stable,Growth
AI Researcher,31.372549019607842,29.411764705882355,39.21568627450981
Cybersecurity Analyst,34.54545454545455,40.0,25.454545454545453
Data Scientist,37.096774193548384,27.419354838709676,35.483870967741936
HR Manager,38.59649122807017,36.84210526315789,24.561403508771928
Marketing Specialist,47.91666666666667,29.166666666666668,22.916666666666664
Operations Manager,15.909090909090908,40.909090909090914,43.18181818181818
Product Manager,25.64102564102564,35.8974358974359,38.46153846153847
Sales Manager,32.6530612244898,28.57142857142857,38.775510204081634
Software Engineer,29.268292682926827,31.70731707317073,39.02439024390244
UX Designer,38.88888888888889,25.925925925925924,35.18518518518518
